POST NAME,POST LINK,POST POINTS,POST COMMENTS
An animated introduction to Fourier series (andreinc.net),https://www.andreinc.net/2024/04/24/from-the-circle-to-epicycles,96 points,11 comments
Why do electronic components have such odd values? (2021) (digilent.com),https://digilent.com/blog/why-do-electronic-components-have-such-odd-values/,241 points,96 comments
Particle accelerators for the microchip era (moore.org),https://www.moore.org/article-detail?newsUrlName=particle-accelerators-for-the-microchip-era,44 points,2 comments
Hacking millions of modems and investigating who hacked my modem (samcurry.net),https://samcurry.net/hacking-millions-of-modems,376 points,223 comments
Sphere Rendering: Flat Planets (emildziewanowski.com),https://emildziewanowski.com/flat-planets/,109 points,19 comments
A breakthrough towards the Riemann hypothesis (mathstodon.xyz),https://mathstodon.xyz/@tao/112557248794707738,391 points,109 comments
Some notes on influenceering (lcamtuf.substack.com),https://lcamtuf.substack.com/p/some-notes-on-influenceering,97 points,34 comments
Show HN: Allocate poker chips optimally with mixed-integer nonlinear programming (github.com/jstrieb),https://github.com/jstrieb/poker-chipper,145 points,56 comments
Continue (YC S23) is hiring a founding engineer in San Francisco (ycombinator.com),https://www.ycombinator.com/companies/continue/jobs/smcxRnM-founding-engineer,no points at time of test run,no comments at time of test run
Attacking Android Binder: Analysis and Exploitation of CVE-2023-20938 (withgoogle.com),https://androidoffsec.withgoogle.com/posts/attacking-android-binder-analysis-and-exploitation-of-cve-2023-20938/,36 points,9 comments
