POST NAME,POST LINK,POST POINTS,POST COMMENTS
Phased Array Microphone (2023) (benwang.dev),https://benwang.dev/2023/02/26/Phased-Array-Microphone.html,284 points,105 comments
Show HN: A Marble Madness-inspired WebGL game we built for Netlify (5-million-devs.netlify.com),https://5-million-devs.netlify.com/,384 points,177 comments
Understanding Google's Quantum Error Correction Breakthrough (quantum-machines.co),https://www.quantum-machines.co/blog/understanding-googles-quantum-error-correction-breakthrough/,70 points,43 comments
Translating My Grandfather's Biograpy (korny.info),https://blog.korny.info/2024/11/17/translating-my-grandfathers-biography,41 points,11 comments
Against the Dark Forest (wrecka.ge),https://www.wrecka.ge/against-the-dark-forest/,46 points,23 comments
Amazon to invest another $4B in Anthropic (cnbc.com),https://www.cnbc.com/2024/11/22/amazon-to-invest-another-4-billion-in-anthropic-openais-biggest-rival.html,394 points,212 comments
The Deceptively Asymmetric Unit Sphere (tangramvision.com),https://www.tangramvision.com/blog/the-deceptively-asymmetric-unit-sphere,84 points,17 comments
Show HN: Rebels in the sky – Terminal game about space pirates (github.com/ricott1),https://github.com/ricott1/rebels-in-the-sky,145 points,41 comments
Nash equilibria in Ballmer's binary-search interview game (quuxplusone.github.io),https://quuxplusone.github.io/blog/2024/09/04/the-game-is-flawed/,18 points,1 comment
RGFW: Single-header C99 window abstraction library (github.com/colleagueriley),https://github.com/ColleagueRiley/RGFW,5 points,discuss
